Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
UNB,"Union Bankshares, Inc.",53.15,$237.36M,,Finance,Major Banks,https://www.nasdaq.com/symbol/unb
QURE,uniQure N.V.,40.29,$1.5B,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/qure
UBCP,"United Bancorp, Inc.",13.19,$71.01M,,Finance,Major Banks,https://www.nasdaq.com/symbol/ubcp
UBOH,"United Bancshares, Inc.",23.45,$76.64M,,Finance,Major Banks,https://www.nasdaq.com/symbol/uboh
UBSI,"United Bankshares, Inc.",37.4,$3.88B,,Finance,Major Banks,https://www.nasdaq.com/symbol/ubsi
UCBI,"United Community Banks, Inc.",28.76,$2.28B,,Finance,Major Banks,https://www.nasdaq.com/symbol/ucbi
UCFC,United Community Financial Corp.,9.77,$487.81M,,Finance,Banks,https://www.nasdaq.com/symbol/ucfc
UAL,"United Continental Holdings, Inc.",87.84,$23.95B,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/ual
UBNK,"United Financial Bancorp, Inc. ",17.08,$873.21M,,Finance,Banks,https://www.nasdaq.com/symbol/ubnk
UFCS,"United Fire Group, Inc",50.98,$1.28B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ufcs
UIHC,United Insurance Holdings Corp.,20.81,$891.13M,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/uihc
UNFI,"United Natural Foods, Inc.",31.84,$1.61B,1996.0,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/unfi
UBFO,United Security Bancshares,11.15,$188.45M,,Finance,Major Banks,https://www.nasdaq.com/symbol/ubfo
USLM,"United States Lime & Minerals, Inc.",78.23,$437.93M,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uslm
UTHR,United Therapeutics Corporation,125.32,$5.46B,1999.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/uthr
UG,"United-Guardian, Inc.",16.25,$74.66M,,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ug
UNIT,Uniti Group Inc.,20.7,$3.64B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/unit
UNTY,"Unity Bancorp, Inc.",23.75,$254.98M,,Finance,Major Banks,https://www.nasdaq.com/symbol/unty
